,id,countLiquidated,countLiquidator,hasBorrowed,health,totalBorrowValueInEth,totalCollateralValueInEth,tokens.0.symbol,tokens.1.symbol,tokens.2.symbol,tokens.3.symbol,tokens.4.symbol,tokens.5.symbol,tokens.6.symbol,tokens.7.symbol,tokens.8.symbol,tokens.9.symbol,tokens.10.symbol,tokens.11.symbol,tokens.12.symbol,tokens.13.symbol
2935,0x009eeb4e411cfbf297cf64b993176904dde36170,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
2936,0x009ef549c1ed421bbce0063ca6a7d18cfbd2ed1f,0,0,False,,0,0.0008321853470829368172371618688,cUSDC,,,,,,,,,,,,,
2937,0x009f24596089ba2ce415481ae9e064aa805bda94,0,0,False,,0,0.0008320906191202807919717426688,cUSDC,,,,,,,,,,,,,
2938,0x009f9722e401db26efd2d1e42926194c7fa60f5b,0,0,False,,0,0,cREP,cUSDC,cETH,cDAI,cBAT,cZRX,cWBTC,cDAI,,,,,,
2939,0x009fbcebaeec016df42f5161b03e9eb6097579eb,0,0,False,,0,0.0004844504143656063328904854836027452144848,cETH,cCOMP,,,,,,,,,,,,
2940,0x009ff56caea47629ee4b4c2c88b71ae0f1c26c15,0,0,False,,0,0.044960548943065034821792338,cETH,,,,,,,,,,,,,
2941,0x00a01b7f0b4ea84e5c538c6620a88f53f920f862,0,0,False,,0,0.000830274820330830029141769216,cUSDC,,,,,,,,,,,,,
2942,0x00a0426a9eeecd1d3f3325a1d5d10c61299e57c7,0,0,False,,0,0.0008319626195368438801595154816,cUSDC,,,,,,,,,,,,,
2943,0x00a048ada56cb48386522b6b9c24e7480ce771e4,0,0,False,,0,0.0090264766748216799999654618216,cUSDC,cETH,,,,,,,,,,,,
2944,0x00a050ae48f4f5463321a9eb2aa2dc2314076ca8,0,0,False,,0,0,cUSDC,cWBTC,cDAI,,,,,,,,,,,
2945,0x00a06ca4dc02a52443ef14cc5390ba22901cb470,0,0,False,,0,0.0008329182478182214638070616064,cUSDC,,,,,,,,,,,,,
2946,0x00a096f1972deefc318026311fd42b3b5803578d,0,0,False,,0,0.0008329338327271726596513037824,cUSDC,,,,,,,,,,,,,
2947,0x00a0ad166f4c783487d6a493f2cc4ce2cf86aa7c,0,0,False,,0,0.005123915357598030921111323544884486003822336,cDAI,,,,,,,,,,,,,
2948,0x00a0c1a4dd1e6e201a0d2eb2e43ce05bc33be127,0,0,False,,0,0.0008327302699934049129923473152,cUSDC,,,,,,,,,,,,,
2949,0x00a0e9599f4444d06b338b6907fc35718ef7246c,0,0,False,,0,0.0039940057388595108245514255,cETH,,,,,,,,,,,,,
2950,0x00a133c53edb71773c7cd2d6b3285a442f4590c1,0,0,True,0,0,0,cUNI,cETH,cDAI,cBAT,,,,,,,,,,
2951,0x00a13f6634efbe25e840d7cf71bc70061205f8ba,0,0,False,,0,0.0067638134131653536222654685,cETH,,,,,,,,,,,,,
2952,0x00a142ad7a6323e079f5ef087e2c27b133fb9974,0,0,False,,0,0.0011043298947694442687926337664,cUSDC,,,,,,,,,,,,,
2953,0x00a147221e9fce00c8a8c07ef33def3f5d6deaec,0,0,False,,0,0.0253185286043208324117224133648,cUSDC,cETH,,,,,,,,,,,,
2954,0x00a161b0ff44960bf4113ae78d79eab88f37629e,0,0,False,,0,0,cUSDT,,,,,,,,,,,,,
2955,0x00a16241bce072a37acfb9088576f48cf37403d2,0,0,False,,0,0.0052494075977968567285595835,cETH,,,,,,,,,,,,,
2956,0x00a17d5c4506882686434515138b55ec39769386,0,0,False,,0,0.010638552264648853455287751,cETH,,,,,,,,,,,,,
2957,0x00a180b0cf23daa44cd6d41b638b02b03cf8e209,0,0,False,,0,0.0008307589881085089823209465216,cUSDC,,,,,,,,,,,,,
2958,0x00a189c62c8d5bb08e4afbdb5d68a7db62d06de3,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
2959,0x00a1e3e9c016656f60c209b2e7fd5f1674cbc644,0,0,True,54.56923191217028707493,9.8320792954557113418e-7,0.00005365290152525705559593267798521835206528,cUNI,cUSDC,cETH,cDAI,cUSDT,,,,,,,,,
2960,0x00a1e4c9dcd241bd1891f8b2d7c151c3550e57ee,0,0,False,,0,0.0040011205688884209486122000184,cUSDC,cETH,,,,,,,,,,,,
2961,0x00a205338591310bda39ca53c377050f89c5df62,0,0,False,,0,0.000830766213416365885754921088,cREP,cUSDC,cETH,cBAT,cZRX,cWBTC,cDAI,,,,,,,
2962,0x00a22ebafb4e5f9e43b5e8c8db245856d2be2b98,0,0,False,,0,0,cUSDC,cDAI,cUSDT,,,,,,,,,,,
2963,0x00a2507668bba5ef1c0bf581cb4ecaef884d9723,0,0,False,,0,0.0008305062554636929191576909312,cUSDC,,,,,,,,,,,,,
2964,0x00a26925967adc092cada90e72deb36132e03e44,0,0,False,,0,0.066147963231809100080805828,cETH,,,,,,,,,,,,,
2965,0x00a289b6e0be27dd5144750db66fb9e6f1973693,0,0,False,,0,0.000472488944966528757971782464,cUSDC,,,,,,,,,,,,,
2966,0x00a2f1a988e36d89955a51c342f8073a67c74eba,0,0,False,,0,0,cETH,,,,,,,,,,,,,
2967,0x00a2f6e4fa9a7c4852cc6878a163ca00b0436941,0,0,False,,0,0.0008314182687753253483571950848,cUSDC,,,,,,,,,,,,,
2968,0x00a3179ddcddf074dc1ce44ee98bbd9261dbd9d9,0,0,False,,0,0.024456854081908881886952259,cETH,,,,,,,,,,,,,
2969,0x00a32e18524c3df72ec65f8aa8e055097e678187,0,0,True,4.06945093995621937498,0.00020281206110455508,0.000825333732696389869790244,cETH,,,,,,,,,,,,,
2970,0x00a35d43f734194d4140dd43c2bf91a17583349c,0,0,True,0,0,0,cUSDC,cETH,cDAI,cWBTC,cUSDT,,,,,,,,,
2971,0x00a36998b72ca258c64a9e50464e276172c02caf,0,0,False,,0,0.001267241028939272432682754741049061558194944,cDAI,,,,,,,,,,,,,
2972,0x00a37a463f713feaa830e9e7d8b030e819dee3c5,0,0,False,,0,0.0008329135708154113685116397568,cUSDC,,,,,,,,,,,,,
2973,0x00a3fd44f285eded330ecbf46b751225851b33e8,0,0,False,,0,0,cUSDC,,,,,,,,,,,,,
2974,0x00a4373ac03649d5585e463817bacdc1a50489ed,0,0,False,,0,0,cDAI,,,,,,,,,,,,,
2975,0x00a4432e2cd75414ef039529768d6c55ca7315d0,0,0,False,,0,0.0008300067078726284181877310976,cUSDC,,,,,,,,,,,,,
2976,0x00a482d66c6c0eebd5a2224867d9bb9d01819635,0,0,False,,0,0.0008302325455738012314000218112,cUSDC,,,,,,,,,,,,,
