,id,date,dailyVolumeETH,dailyVolumeUSD,dailyVolumeUntracked,totalVolumeUSD,totalLiquidityUSD,mostLiquidTokens,txCount
132,18521,1600214400,981845.4435806429,355975612.3761654,414111169.711664,0,916622034.2086797,[],7925014
133,18522,1600300800,1527067.3347442653,582878441.5090518,618089872.7250426,0,1399178939.9828172,[],8084020
134,18523,1600387200,1619397.725316733,617164437.9103655,667149391.5984181,0,1908368639.2581732,[],8266539
135,18524,1600473600,1229005.9937631786,469105606.2098791,540292842.7559797,0,2133980088.937688,[],8450499
136,18525,1600560000,999485.5758048749,373934283.82766193,434967162.34949625,0,2157183491.010109,[],8626124
137,18526,1600646400,1280595.3492456062,449626743.12538457,512763301.0982856,0,1970948884.8700907,[],8793708
138,18527,1600732800,921392.8157949708,314225123.2094177,379940785.5688943,0,1991305267.3694944,[],8978508
139,18528,1600819200,1018795.1241850659,339701177.27470034,401898741.6046947,0,1906147555.6652155,[],9159727
140,18529,1600905600,778071.3155706401,260116672.65957063,316440120.565836,0,2087440168.6511476,[],9320570
141,18530,1600992000,695974.2190106022,241210759.70918384,294185143.81056577,0,2130815393.324028,[],9489685
142,18531,1601078400,652777.3187022781,229387996.12058905,277054282.3417284,0,2189263324.690773,[],9654026
143,18532,1601164800,823367.3608438205,292024513.8533001,339465078.77557725,0,2228795009.5743747,[],9820089
144,18533,1601251200,782349.9429971126,281159580.15664536,339293289.199983,0,2277040800.958547,[],9991305
145,18534,1601337600,1003240.2444703026,354333085.5702448,404003491.7163359,0,2318825276.842966,[],10160787
146,18535,1601424000,746362.6453787702,264900309.3789116,309682161.5522017,0,2399844585.134516,[],10323678
147,18536,1601510400,1023564.6846011444,365097426.1289604,406240216.2942856,0,2417777667.163419,[],10490160
148,18537,1601596800,1279769.42741013,438869497.67534494,481082270.1909097,0,2395190418.494782,[],10660052
149,18538,1601683200,765091.2258627914,264989053.4235504,320791113.74242306,0,2440433487.072365,[],10831116
150,18539,1601769600,841874.8202743361,292176299.58757246,362649101.1329953,0,2470945819.963632,[],11028139
151,18540,1601856000,714107.2092768156,250755805.8113172,319777850.41743684,0,2495394378.4738727,[],11229668
152,18541,1601942400,1193511.3832391507,412127415.4160108,470154321.4729551,0,2412707107.3092127,[],11437003
153,18542,1602028800,951936.273127636,321807581.2330395,372526246.9071817,0,2432532790.6407924,[],11612006
154,18543,1602115200,891436.1459925226,306299782.3830147,365256458.93955094,0,2564611072.488585,[],11782125
155,18544,1602201600,744452.2266633089,265800089.49506128,322219376.835326,0,2680119427.487508,[],11946818
156,18545,1602288000,626492.6874069364,233287470.15603927,290401152.22538054,0,2791544711.590758,[],12108955
157,18546,1602374400,513849.6026452913,191261050.41591913,240921709.99395433,0,2884189190.7273393,[],12263813
158,18547,1602460800,679538.3496203586,257743940.58323127,313914911.021718,0,2912014112.6718826,[],12433213
159,18548,1602547200,530709.3245382407,202117760.610514,252304790.992602,0,2869853122.8069253,[],12594775
160,18549,1602633600,571016.1058591192,216330563.137386,259816517.10354927,0,2988045162.9378505,[],12743955
161,18550,1602720000,581419.9708294418,218528878.2740116,260500630.82552376,0,3029384251.4038925,[],12887977
162,18551,1602806400,500224.9707636224,184340099.44610444,223238158.33003056,0,2923304051.034725,[],13021054
163,18552,1602892800,369023.8955806669,135150987.06205413,172426767.57187137,0,2922963144.2925186,[],13159104
164,18553,1602979200,383069.3607798634,142536540.5636438,179823624.5454747,0,2978223456.315812,[],13297834
165,18554,1603065600,428878.9534360692,161626747.64653134,210922743.1729312,0,2999032246.033659,[],13471141
166,18555,1603152000,527099.684294029,196065945.0453448,240581636.31397623,0,2917072068.4901347,[],13627967
167,18556,1603238400,713207.2773405096,274714346.6144682,321517009.653662,0,2959303815.997625,[],13783890
168,18557,1603324800,576087.1382475612,234055912.8082492,274346891.884242,0,2953195914.2828455,[],13927002
169,18558,1603411200,511191.7166477511,209934623.88830727,251800313.4246536,0,2840686438.162389,[],14072564
170,18559,1603497600,316917.2465158197,130394813.3413628,162241741.44859508,0,2928663017.297647,[],14204578
171,18560,1603584000,362731.2427089845,148218689.2401536,182885546.01957604,0,2970058069.937109,[],14339812
172,18561,1603670400,5362827.76700734,2186995122.59242,2225657875.1551313,0,2991066558.810916,[],14491903
173,18562,1603756800,486810.46684575966,194414960.3674372,230850066.1853875,0,3045274370.322033,[],14639949
174,18563,1603843200,987736.3266505891,385042473.2250404,422057419.525229,0,2960554006.5298743,[],14816317
175,18564,1603929600,827644.1165095007,321120296.99543667,361105742.2387799,0,2927337476.4032726,[],14998036
176,18565,1604016000,875430.0961171127,333904545.04100907,373362652.6315122,0,2911503162.5277686,[],15164117
177,18566,1604102400,565535.0214096572,218318748.05139604,253807754.21539208,0,2986486848.5204086,[],15321410
